"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	10	4447100	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	10	4467634	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	12	4467634	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	10	4467634	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	12	4480089	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	17	4480089	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	14	4480089	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	13	4480089	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	14	4503491	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	10	4503491	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	15	4530729	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	19	4530729	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	29	4530729	0.640
	"Alabama"	"01"	"2005"	"2005"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	15	4569805	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	15	4569805	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	23	4569805	0.503
	"Alabama"	"01"	"2006"	"2006"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Other opioids"	"T40.2"	17	4628981	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Methadone"	"T40.3"	29	4628981	0.626
	"Alabama"	"01"	"2006"	"2006"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Other opioids"	"T40.2"	18	4628981	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Methadone"	"T40.3"	24	4628981	0.518
