"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	10	248709	Unreliable
	"Alabama"	"01"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	11	251014	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	12	247372	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	11	242919	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	10	235189	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	10	239017	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	15	219849	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	14	236652	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	15	235425	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	13	221256	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	12	207085	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	10	234481	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	18	238988	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	14	222818	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	17	207154	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	18	230972	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	13	233999	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	13	246393	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	15	242960	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	28	224273	12.485
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	12	201731	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	24	206850	11.603
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	17	228870	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	22	232053	9.481
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	17	249100	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	15	246065	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	15	225868	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	14	202361	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	39	208129	18.738
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	29	225810	12.843
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	25	228887	10.922
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	20	251274	7.959
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	19	248457	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	17	227585	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	17	203918	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	37	209864	17.630
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	22	221942	9.912
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	28	226271	12.375
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	29	252180	11.500
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	22	250542	8.781
	"Alabama"	"01"	"2010"	"2010"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	11	227918	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	17	204528	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	42	210492	19.953
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	18	218975	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	25	222558	11.233
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	19	252403	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	22	250831	8.771
	"Alabama"	"01"	"2011"	"2011"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	13	227453	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	"Female"	"F"	"White"	"2106-3"	14	206377	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	"White"	"2106-3"	25	211472	11.822
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	"Female"	"F"	"White"	"2106-3"	12	214663	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	"White"	"2106-3"	25	217046	11.518
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	"Female"	"F"	"White"	"2106-3"	31	249168	12.441
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	"White"	"2106-3"	23	246852	9.317
	"Alabama"	"01"	"2012"	"2012"	"15-24 years"	"15-24"	"Male"	"M"	"White"	"2106-3"	11	225836	Unreliable
